Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;1,650.00;;;1,650.00;0.00;0;0;0
07.11.2024;1,650.00;;;1,650.00;0.00;0;0;0
06.11.2024;1,650.00;;;1,650.00;0.00;0;0;0
05.11.2024;1,650.00;;;1,650.00;0.00;0;0;0
04.11.2024;1,650.00;;;1,650.00;0.00;0;0;0
01.11.2024;1,650.00;;;1,650.00;0.00;0;0;0
31.10.2024;1,650.00;;;1,650.00;0.00;0;0;0
30.10.2024;1,650.00;;;1,650.00;0.00;0;0;0
29.10.2024;1,650.00;;;1,650.00;0.00;0;0;0
28.10.2024;1,650.00;;;1,650.00;0.00;0;0;0
25.10.2024;1,650.00;;;1,650.00;0.00;0;0;0
24.10.2024;1,650.00;;;1,650.00;0.00;0;0;0
22.10.2024;1,650.00;;;1,650.00;0.00;0;0;0
21.10.2024;1,650.00;1,650.00;1,650.00;1,650.00;-2.94;208;343,200;343,200
18.10.2024;1,700.00;1,700.00;1,700.00;1,700.00;0.00;2;3,400;3,400
17.10.2024;1,700.00;;;1,700.00;0.00;0;0;0
16.10.2024;1,700.00;;;1,700.00;0.00;0;0;0
15.10.2024;1,700.00;;;1,700.00;0.00;0;0;0
14.10.2024;1,700.00;;;1,700.00;0.00;0;0;0
10.10.2024;1,700.00;1,700.00;1,700.00;1,700.00;-2.86;200;340,000;340,000
