Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;24,900.00;24,999.00;24,900.00;24,975.96;0.10;232;5,794,422;5,794,422
07.11.2024;24,998.00;24,999.00;24,900.00;24,951.77;-0.13;109;2,719,743;2,719,743
06.11.2024;24,900.00;25,000.00;24,900.00;24,983.63;0.08;412;10,293,255;10,293,255
05.11.2024;24,977.00;25,000.00;24,899.00;24,962.50;0.32;763;19,046,384;19,046,384
04.11.2024;24,897.00;24,900.00;24,600.00;24,882.60;1.89;417;10,376,043;10,376,043
01.11.2024;24,400.00;24,900.00;24,300.00;24,419.95;1.50;1,224;29,890,022;29,890,022
31.10.2024;24,070.00;24,070.00;24,000.00;24,058.49;0.39;314;7,554,365;7,554,365
30.10.2024;23,969.00;23,976.00;23,950.00;23,964.34;-0.01;962;23,053,698;23,053,698
29.10.2024;23,960.00;23,970.00;23,960.00;23,967.76;-0.01;380;9,107,747;15,100,247
28.10.2024;23,960.00;23,976.00;23,960.00;23,969.90;-0.03;1,093;26,199,098;26,199,098
25.10.2024;23,977.00;23,979.00;23,951.00;23,977.61;0.01;852;20,428,924;20,428,924
24.10.2024;23,978.00;23,978.00;23,950.00;23,975.33;0.00;556;13,330,284;13,330,284
22.10.2024;23,951.00;23,999.00;23,951.00;23,976.12;-0.03;608;14,577,484;14,577,484
21.10.2024;23,994.00;24,000.00;23,950.00;23,983.19;0.17;739;17,723,579;17,723,579
18.10.2024;23,970.00;23,970.00;23,900.00;23,941.32;-0.07;690;16,519,514;19,824,614
17.10.2024;23,960.00;23,970.00;23,920.00;23,957.00;0.12;481;11,523,319;11,523,319
16.10.2024;23,920.00;23,990.00;23,900.00;23,927.66;0.00;311;7,441,501;7,441,501
15.10.2024;23,989.00;23,989.00;23,900.00;23,928.81;0.12;374;8,949,375;8,949,375
14.10.2024;23,900.00;23,950.00;23,899.00;23,901.28;0.04;220;5,258,282;5,258,282
10.10.2024;23,804.00;23,900.00;23,803.00;23,892.48;0.02;407;9,724,241;22,225,241
