Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;85,001.00;85,001.00;85,001.00;85,001.00;-0.84;10;850,010;850,010
07.11.2024;85,700.00;85,750.00;85,700.00;85,725.00;0.34;4;342,900;342,900
06.11.2024;85,500.00;85,500.00;85,000.00;85,436.17;-0.07;47;4,015,500;4,015,500
05.11.2024;85,499.00;85,500.00;85,499.00;85,499.50;0.00;4;341,998;33,661,998
04.11.2024;85,500.00;85,500.00;85,499.00;85,499.91;0.00;11;940,499;940,499
01.11.2024;85,500.00;85,500.00;85,500.00;85,500.00;0.59;15;1,282,500;1,282,500
31.10.2024;85,000.00;85,000.00;85,000.00;85,000.00;0.57;754;64,090,000;64,090,000
30.10.2024;84,401.00;85,000.00;84,401.00;84,521.57;0.03;14;1,183,302;1,183,302
29.10.2024;84,500.00;84,501.00;84,500.00;84,500.12;-0.70;8;676,001;676,001
28.10.2024;85,500.00;85,500.00;85,000.00;85,100.00;-0.25;5;425,500;425,500
25.10.2024;85,500.00;85,500.00;85,000.00;85,313.88;-0.13;59;5,033,519;5,033,519
24.10.2024;85,500.00;85,500.00;85,000.00;85,428.57;0.53;7;598,000;598,000
22.10.2024;84,500.00;85,000.00;84,500.00;84,979.12;-0.02;24;2,039,499;2,039,499
21.10.2024;85,000.00;;;85,000.00;0.00;0;0;0
18.10.2024;85,000.00;85,000.00;85,000.00;85,000.00;-0.35;2;170,000;170,000
17.10.2024;85,000.00;85,500.00;85,000.00;85,300.24;-0.24;45;3,838,511;3,838,511
16.10.2024;85,500.00;85,550.00;85,500.00;85,503.12;-0.57;16;1,368,050;1,368,050
15.10.2024;85,990.00;85,990.00;85,990.00;85,990.00;0.11;1;85,990;85,990
14.10.2024;85,900.00;85,900.00;85,899.00;85,899.56;0.00;9;773,096;773,096
10.10.2024;85,900.00;85,900.00;85,900.00;85,900.00;-0.12;3;257,700;257,700
