Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;15,096.00;15,096.00;15,096.00;15,096.00;-0.01;9;135,864;135,864
07.11.2024;15,098.00;15,098.00;15,098.00;15,098.00;-0.01;17;256,666;256,666
06.11.2024;15,100.00;;;15,100.00;0.00;0;0;0
05.11.2024;15,100.00;15,100.00;15,100.00;15,100.00;0.00;11;166,100;166,100
04.11.2024;15,100.00;15,100.00;15,100.00;15,100.00;2.03;2;30,200;30,200
01.11.2024;14,800.00;14,800.00;14,800.00;14,800.00;0.68;12;177,600;177,600
31.10.2024;14,700.00;14,700.00;14,700.00;14,700.00;0.00;21;308,700;308,700
30.10.2024;14,700.00;14,701.00;14,700.00;14,700.65;0.00;31;455,720;455,720
29.10.2024;14,700.00;;;14,700.00;0.00;0;0;0
28.10.2024;14,700.00;14,700.00;14,700.00;14,700.00;0.28;34;499,800;499,800
25.10.2024;14,700.00;14,700.00;14,601.00;14,659.28;-0.28;141;2,066,958;2,066,958
24.10.2024;14,700.00;14,700.00;14,700.00;14,700.00;1.38;40;588,000;588,000
22.10.2024;14,500.00;;;14,500.00;0.00;0;0;0
21.10.2024;14,500.00;14,500.00;14,500.00;14,500.00;-1.49;1;14,500;14,500
18.10.2024;14,700.00;;;14,720.00;0.00;0;0;0
17.10.2024;14,700.00;14,800.00;14,700.00;14,720.00;-0.20;5;73,600;73,600
16.10.2024;14,700.00;14,790.00;14,700.00;14,748.89;-0.28;18;265,480;265,480
15.10.2024;14,790.00;14,790.00;14,790.00;14,790.00;1.69;3;44,370;44,370
14.10.2024;14,500.00;14,800.00;14,500.00;14,544.08;-1.73;168;2,443,405;2,443,405
10.10.2024;14,800.00;14,800.00;14,800.00;14,800.00;0.00;3;44,400;44,400
