Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;1,964.00;1,964.00;1,964.00;1,964.00;-0.27;155;304,420;304,420
07.11.2024;1,967.00;1,975.00;1,967.00;1,969.28;-0.28;642;1,264,276;1,264,276
06.11.2024;1,975.00;1,990.00;1,970.00;1,974.75;0.29;295;582,550;582,550
05.11.2024;1,969.00;1,969.00;1,969.00;1,969.00;-1.40;25;49,225;49,225
04.11.2024;1,997.00;1,997.00;1,997.00;1,997.00;0.00;27;53,919;53,919
01.11.2024;1,997.00;1,997.00;1,997.00;1,997.00;2.02;138;275,586;275,586
31.10.2024;1,960.00;1,960.00;1,950.00;1,957.51;0.99;1,065;2,084,750;2,084,750
30.10.2024;1,938.00;1,949.00;1,920.00;1,938.29;0.95;434;841,220;841,220
29.10.2024;1,920.00;;;1,920.00;0.00;0;0;0
28.10.2024;1,920.00;1,920.00;1,920.00;1,920.00;0.35;115;220,800;220,800
25.10.2024;1,900.00;1,919.00;1,900.00;1,913.26;-0.35;43;82,270;82,270
24.10.2024;1,920.00;;;1,920.00;0.00;0;0;0
22.10.2024;1,920.00;1,920.00;1,920.00;1,920.00;0.00;300;576,000;576,000
21.10.2024;1,920.00;1,920.00;1,920.00;1,920.00;-1.44;65;124,800;124,800
18.10.2024;1,948.00;1,948.00;1,948.00;1,948.00;1.10;5;9,740;9,740
17.10.2024;1,920.00;;;1,926.71;0.00;0;0;0
16.10.2024;1,920.00;1,950.00;1,899.00;1,926.71;-1.19;112;215,792;215,792
15.10.2024;1,950.00;1,950.00;1,950.00;1,950.00;0.00;560;1,092,000;1,092,000
14.10.2024;1,950.00;;;1,950.00;0.00;0;0;0
10.10.2024;1,950.00;;;1,950.00;0.00;0;0;0
