Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;45,000.00;45,000.00;45,000.00;45,000.00;0.00;20;900,000;900,000
07.11.2024;45,000.00;45,000.00;45,000.00;45,000.00;0.46;42;1,890,000;1,890,000
06.11.2024;44,750.00;45,000.00;44,750.00;44,793.57;-0.25;23;1,030,252;1,030,252
05.11.2024;45,000.00;45,000.00;44,750.00;44,907.11;0.40;90;4,041,640;4,041,640
04.11.2024;44,750.00;44,880.00;44,700.00;44,727.80;-0.02;104;4,651,691;4,651,691
01.11.2024;44,750.00;44,880.00;44,700.00;44,734.90;-0.35;51;2,281,480;2,281,480
31.10.2024;44,890.00;44,890.00;44,890.00;44,890.00;-0.02;23;1,032,470;1,032,470
30.10.2024;44,900.00;44,900.00;44,900.00;44,900.00;0.69;6;269,400;269,400
29.10.2024;44,551.00;44,995.00;44,551.00;44,592.30;-0.81;54;2,407,984;2,407,984
28.10.2024;44,994.00;44,997.00;44,550.00;44,954.46;0.57;63;2,832,131;2,832,131
25.10.2024;44,700.00;44,700.00;44,700.00;44,700.00;0.22;9;402,300;402,300
24.10.2024;44,600.00;44,600.00;44,600.00;44,600.00;-0.22;15;669,000;669,000
22.10.2024;44,700.00;44,700.00;44,700.00;44,700.00;-0.32;20;894,000;894,000
21.10.2024;44,700.00;44,998.00;44,700.00;44,841.90;-0.35;21;941,680;941,680
18.10.2024;44,998.00;44,998.00;44,998.00;44,998.00;0.00;13;584,974;584,974
17.10.2024;44,999.00;;;44,998.80;0.00;0;0;0
16.10.2024;44,999.00;44,999.00;44,998.00;44,998.80;0.00;5;224,994;224,994
15.10.2024;44,998.00;44,998.00;44,998.00;44,998.00;0.00;13;584,974;584,974
14.10.2024;44,995.00;45,000.00;44,990.00;44,997.44;0.14;27;1,214,931;1,214,931
10.10.2024;44,999.00;44,999.00;44,890.00;44,935.56;0.75;27;1,213,260;1,213,260
