Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;1,950.00;1,950.00;1,950.00;1,950.00;0.26;175;341,250;341,250
07.11.2024;1,945.00;;;1,945.00;0.00;0;0;0
06.11.2024;1,945.00;;;1,945.00;0.00;0;0;0
05.11.2024;1,945.00;;;1,945.00;0.00;0;0;0
04.11.2024;1,945.00;;;1,945.00;0.00;0;0;0
01.11.2024;1,945.00;;;1,945.00;0.00;0;0;0
31.10.2024;1,945.00;;;1,945.00;0.00;0;0;0
30.10.2024;1,945.00;1,945.00;1,945.00;1,945.00;-0.05;125;243,125;243,125
29.10.2024;1,946.00;1,946.00;1,946.00;1,946.00;0.00;91;177,086;177,086
28.10.2024;1,946.00;1,946.00;1,946.00;1,946.00;-2.99;110;214,060;214,060
25.10.2024;2,006.00;;;2,006.00;0.00;0;0;0
24.10.2024;2,006.00;;;2,006.00;0.00;0;0;0
22.10.2024;2,006.00;;;2,006.00;0.00;0;0;0
21.10.2024;2,006.00;;;2,006.00;0.00;0;0;0
18.10.2024;2,006.00;2,006.00;2,006.00;2,006.00;0.00;3;6,018;6,018
17.10.2024;2,006.00;2,006.00;2,006.00;2,006.00;3.53;6;12,036;12,036
16.10.2024;1,900.00;1,946.00;1,900.00;1,937.64;-0.43;11;21,314;21,314
15.10.2024;1,946.00;1,946.00;1,946.00;1,946.00;-2.99;300;583,800;583,800
14.10.2024;2,006.00;2,006.00;2,006.00;2,006.00;8.43;10;20,060;20,060
10.10.2024;1,850.00;1,850.00;1,850.00;1,850.00;-7.41;165;305,250;305,250
