Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;23,299.00;23,400.00;23,010.00;23,193.84;0.85;64;1,484,406;1,484,406
07.11.2024;23,000.00;23,000.00;22,990.00;22,997.62;2.28;130;2,989,691;2,989,691
06.11.2024;22,500.00;22,502.00;22,301.00;22,484.06;0.83;187;4,204,519;4,204,519
05.11.2024;22,300.00;22,300.00;22,298.00;22,299.74;0.03;3,434;76,577,300;76,577,300
04.11.2024;22,300.00;22,300.00;22,250.00;22,293.98;-0.10;408;9,095,944;9,095,944
01.11.2024;22,300.00;22,351.00;22,300.00;22,316.35;0.11;712;15,889,243;26,615,543
31.10.2024;22,250.00;22,310.00;22,250.00;22,291.33;0.19;218;4,859,510;4,859,510
30.10.2024;22,250.00;22,250.00;22,250.00;22,250.00;-0.01;86;1,913,500;1,913,500
29.10.2024;22,200.00;22,260.00;22,200.00;22,252.00;-0.07;125;2,781,500;2,781,500
28.10.2024;22,300.00;22,350.00;22,250.00;22,266.81;0.18;111;2,471,616;2,471,616
25.10.2024;22,200.00;22,251.00;22,200.00;22,225.74;-0.08;339;7,534,525;7,534,525
24.10.2024;22,250.00;22,251.00;22,200.00;22,243.51;-0.20;359;7,985,420;7,985,420
22.10.2024;22,250.00;22,500.00;22,200.00;22,288.64;0.06;78;1,738,514;1,738,514
21.10.2024;22,250.00;22,300.00;22,200.00;22,274.43;0.09;298;6,637,780;6,637,780
18.10.2024;22,250.00;22,300.00;22,249.00;22,254.15;0.04;222;4,940,421;4,940,421
17.10.2024;22,250.00;22,296.00;22,160.00;22,246.02;0.47;317;7,051,987;7,051,987
16.10.2024;22,295.00;22,295.00;22,100.00;22,140.92;-0.45;74;1,638,428;1,638,428
15.10.2024;22,101.00;22,300.00;22,100.00;22,240.91;-0.27;92;2,046,164;2,046,164
14.10.2024;22,300.00;22,350.00;22,300.00;22,301.63;-0.21;195;4,348,818;4,348,818
10.10.2024;22,350.00;22,400.00;22,300.00;22,347.50;0.27;177;3,955,508;3,955,508
