Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;1,650.00;1,650.00;1,630.00;1,645.87;2.48;63;103,690;103,690
07.11.2024;1,631.00;1,631.00;1,600.00;1,606.01;0.38;1,234;1,981,820;1,981,820
06.11.2024;1,600.00;1,600.00;1,600.00;1,600.00;-0.83;370;592,000;592,000
05.11.2024;1,590.00;1,630.00;1,590.00;1,613.33;-1.02;84;135,520;135,520
04.11.2024;1,630.00;1,630.00;1,630.00;1,630.00;1.88;100;163,000;163,000
01.11.2024;1,600.00;;;1,600.00;0.00;0;0;0
31.10.2024;1,600.00;1,600.00;1,600.00;1,600.00;0.00;268;428,800;428,800
30.10.2024;1,600.00;1,600.00;1,600.00;1,600.00;-1.84;88;140,800;140,800
29.10.2024;1,630.00;1,630.00;1,630.00;1,630.00;0.68;10;16,300;16,300
28.10.2024;1,600.00;;;1,619.05;0.00;0;0;0
25.10.2024;1,600.00;1,630.00;1,600.00;1,619.05;-0.80;494;799,810;799,810
24.10.2024;1,670.00;1,670.00;1,630.00;1,632.16;0.13;185;301,950;301,950
22.10.2024;1,630.00;1,630.00;1,630.00;1,630.00;0.00;100;163,000;163,000
21.10.2024;1,630.00;1,630.00;1,630.00;1,630.00;0.00;120;195,600;195,600
18.10.2024;1,630.00;1,630.00;1,630.00;1,630.00;1.82;250;407,500;407,500
17.10.2024;1,601.00;1,601.00;1,600.00;1,600.94;-1.42;116;185,709;185,709
16.10.2024;1,600.00;1,630.00;1,600.00;1,623.94;1.46;297;482,310;482,310
15.10.2024;1,600.00;;;1,600.62;0.00;0;0;0
14.10.2024;1,600.00;1,601.00;1,600.00;1,600.62;-1.80;162;259,300;259,300
10.10.2024;1,630.00;1,630.00;1,630.00;1,630.00;0.00;10;16,300;16,300
