Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;8,000.00;;;8,000.00;0.00;0;0;0
07.11.2024;8,000.00;8,000.00;8,000.00;8,000.00;3.16;5;40,000;40,000
06.11.2024;7,710.00;;;7,754.83;0.00;0;0;0
05.11.2024;7,710.00;;;7,754.83;0.00;0;0;0
04.11.2024;7,710.00;;;7,754.83;0.00;0;0;315,276,500
01.11.2024;7,710.00;;;7,754.83;0.00;0;0;0
31.10.2024;7,710.00;7,760.00;7,710.00;7,754.83;-3.06;290;2,248,900;2,248,900
30.10.2024;8,000.00;8,000.00;8,000.00;8,000.00;2.59;14;112,000;564,161,710
29.10.2024;7,900.00;;;7,797.96;0.00;0;0;0
28.10.2024;7,900.00;;;7,797.96;0.00;0;0;0
25.10.2024;7,900.00;7,900.00;7,700.00;7,797.96;1.63;392;3,056,800;37,868,200
24.10.2024;7,800.00;7,800.00;7,650.00;7,673.19;-7.35;690;5,294,500;5,294,500
22.10.2024;7,720.00;;;8,282.33;0.00;0;0;9,047,000
21.10.2024;7,720.00;;;8,282.33;0.00;0;0;0
18.10.2024;7,720.00;8,500.00;7,720.00;8,282.33;-2.56;15,158;125,543,620;125,543,620
17.10.2024;8,500.00;8,500.00;8,500.00;8,500.00;-2.30;25;212,500;212,500
16.10.2024;8,700.00;8,700.00;8,700.00;8,700.00;0.00;17;147,900;147,900
15.10.2024;8,700.00;8,700.00;8,700.00;8,700.00;-3.33;3;26,100;26,100
14.10.2024;9,000.00;9,000.00;9,000.00;9,000.00;0.00;17;153,000;153,000
10.10.2024;9,000.00;9,000.00;9,000.00;9,000.00;1.15;36;324,000;6,784,000
