Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;5,919.00;;;5,919.00;0.00;0;0;0
07.11.2024;5,919.00;;;5,919.00;0.00;0;0;0
06.11.2024;5,919.00;;;5,919.00;0.00;0;0;0
05.11.2024;5,919.00;;;5,919.00;0.00;0;0;0
04.11.2024;5,919.00;;;5,919.00;0.00;0;0;0
01.11.2024;5,919.00;;;5,919.00;0.00;0;0;0
31.10.2024;5,919.00;;;5,919.00;0.00;0;0;0
30.10.2024;5,919.00;;;5,919.00;0.00;0;0;0
29.10.2024;5,919.00;;;5,919.00;0.00;0;0;0
28.10.2024;5,919.00;;;5,919.00;0.00;0;0;0
25.10.2024;5,919.00;;;5,919.00;0.00;0;0;0
24.10.2024;5,919.00;5,919.00;5,919.00;5,919.00;0.00;133;787,227;787,227
22.10.2024;5,919.00;5,919.00;5,919.00;5,919.00;0.00;132;781,308;781,308
21.10.2024;5,919.00;5,920.00;5,919.00;5,919.22;0.00;276;1,633,704;1,633,704
18.10.2024;5,919.00;5,919.00;5,919.00;5,919.00;0.00;109;645,171;645,171
17.10.2024;5,919.00;5,919.00;5,919.00;5,919.00;0.04;132;781,308;781,308
16.10.2024;5,919.00;5,919.00;5,850.00;5,916.49;-0.04;3,208;18,980,097;18,980,097
15.10.2024;5,919.00;;;5,919.00;0.00;0;0;0
14.10.2024;5,919.00;;;5,919.00;0.00;0;0;0
10.10.2024;5,919.00;;;5,919.00;0.00;0;0;0
