Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;3,300.00;;;3,300.00;0.00;0;0;0
07.11.2024;3,300.00;;;3,300.00;0.00;0;0;0
06.11.2024;3,300.00;;;3,300.00;0.00;0;0;0
05.11.2024;3,300.00;;;3,300.00;0.00;0;0;0
04.11.2024;3,300.00;;;3,300.00;0.00;0;0;0
01.11.2024;3,300.00;;;3,300.00;0.00;0;0;0
31.10.2024;3,300.00;3,300.00;3,300.00;3,300.00;1.51;836;2,758,800;2,758,800
30.10.2024;3,300.00;;;3,251.03;0.00;0;0;0
29.10.2024;3,300.00;;;3,251.03;0.00;0;0;0
28.10.2024;3,300.00;3,300.00;3,250.00;3,251.03;1.59;242;786,750;41,300,850
25.10.2024;3,200.00;;;3,200.00;0.00;0;0;0
24.10.2024;3,200.00;3,200.00;3,200.00;3,200.00;0.00;150;480,000;480,000
22.10.2024;3,200.00;3,200.00;3,200.00;3,200.00;0.00;90;288,000;288,000
21.10.2024;3,200.00;;;3,200.00;0.00;0;0;0
18.10.2024;3,200.00;3,200.00;3,200.00;3,200.00;0.00;111;355,200;355,200
17.10.2024;3,200.00;;;3,200.00;0.00;0;0;0
16.10.2024;3,200.00;3,200.00;3,200.00;3,200.00;0.00;504;1,612,800;1,612,800
15.10.2024;3,200.00;;;3,200.00;0.00;0;0;48,136,760
14.10.2024;3,200.00;3,200.00;3,200.00;3,200.00;-1.52;540;1,728,000;1,728,000
10.10.2024;3,250.00;3,250.00;3,220.00;3,249.45;1.52;219;711,630;29,895,930
