Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;1,400.00;;;1,400.00;0.00;0;0;0
07.11.2024;1,400.00;;;1,400.00;0.00;0;0;0
06.11.2024;1,400.00;;;1,400.00;0.00;0;0;0
05.11.2024;1,400.00;;;1,400.00;0.00;0;0;0
04.11.2024;1,400.00;;;1,400.00;0.00;0;0;0
01.11.2024;1,400.00;;;1,400.00;0.00;0;0;0
31.10.2024;1,400.00;;;1,400.00;0.00;0;0;0
30.10.2024;1,400.00;;;1,400.00;0.00;0;0;0
29.10.2024;1,400.00;;;1,400.00;0.00;0;0;0
28.10.2024;1,400.00;;;1,400.00;0.00;0;0;0
25.10.2024;1,400.00;;;1,400.00;0.00;0;0;0
24.10.2024;1,400.00;;;1,400.00;0.00;0;0;0
22.10.2024;1,400.00;;;1,400.00;0.00;0;0;0
21.10.2024;1,400.00;;;1,400.00;0.00;0;0;5,000,100
18.10.2024;1,400.00;;;1,400.00;0.00;0;0;0
