Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;135.00;135.00;135.00;135.00;0.00;678;91,530;91,530
07.11.2024;135.00;135.00;135.00;135.00;1.76;988;133,380;133,380
06.11.2024;132.00;133.00;132.00;132.66;-1.73;623;82,646;82,646
05.11.2024;135.00;;;135.00;0.00;0;0;0
04.11.2024;135.00;;;135.00;0.00;0;0;0
01.11.2024;135.00;135.00;135.00;135.00;0.00;850;114,750;114,750
31.10.2024;135.00;;;135.00;0.00;0;0;0
30.10.2024;135.00;;;135.00;0.00;0;0;0
29.10.2024;135.00;135.00;135.00;135.00;0.00;927;125,145;125,145
28.10.2024;135.00;;;135.00;0.00;0;0;0
25.10.2024;135.00;135.00;135.00;135.00;0.00;2,513;339,255;339,255
24.10.2024;135.00;135.00;135.00;135.00;1.50;950;128,250;128,250
22.10.2024;133.00;133.00;133.00;133.00;-1.48;90;11,970;11,970
21.10.2024;135.00;;;135.00;0.00;0;0;0
18.10.2024;135.00;;;135.00;0.00;0;0;0
17.10.2024;135.00;135.00;135.00;135.00;-0.47;1,000;135,000;135,000
16.10.2024;135.00;;;135.64;0.00;0;0;0
15.10.2024;135.00;;;135.64;0.00;0;0;0
14.10.2024;135.00;;;135.64;0.00;0;0;0
10.10.2024;135.00;;;135.64;0.00;0;0;0
