Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;410.00;410.00;407.00;408.47;-0.44;1,146;468,110;468,110
07.11.2024;410.00;411.00;410.00;410.29;-1.13;700;287,200;287,200
06.11.2024;415.00;415.00;415.00;415.00;-0.72;504;209,160;209,160
05.11.2024;418.00;418.00;418.00;418.00;-0.48;13;5,434;5,434
04.11.2024;420.00;;;420.00;0.00;0;0;0
01.11.2024;420.00;420.00;420.00;420.00;2.42;164;68,880;68,880
31.10.2024;410.00;420.00;410.00;410.07;-1.43;1,452;595,420;595,420
30.10.2024;417.00;420.00;415.00;416.02;-2.57;5,064;2,106,748;2,106,748
29.10.2024;427.00;;;427.00;0.00;0;0;0
28.10.2024;427.00;427.00;427.00;427.00;2.15;15;6,405;6,405
25.10.2024;418.00;418.00;418.00;418.00;-2.56;412;172,216;172,216
24.10.2024;429.00;429.00;429.00;429.00;-0.23;135;57,915;57,915
22.10.2024;430.00;;;430.00;0.00;0;0;0
21.10.2024;430.00;;;430.00;0.00;0;0;0
18.10.2024;430.00;430.00;430.00;430.00;2.04;38;16,340;16,340
17.10.2024;415.00;;;421.42;0.00;0;0;0
16.10.2024;415.00;436.00;415.00;421.42;-3.57;288;121,368;121,368
15.10.2024;437.00;;;437.00;0.00;0;0;0
14.10.2024;437.00;;;437.00;0.00;0;0;0
10.10.2024;437.00;437.00;437.00;437.00;0.00;50;21,850;21,850
