Date;Last trade price;Max;Min;Avg. Price;%chg.;Volume;Turnover in BEST in denars;Total turnover in denars
08.11.2024;7,200.00;;;7,200.00;0.00;0;0;0
07.11.2024;7,200.00;;;7,200.00;0.00;0;0;0
06.11.2024;7,200.00;;;7,200.00;0.00;0;0;0
05.11.2024;7,200.00;7,200.00;7,200.00;7,200.00;0.88;10;72,000;72,000
04.11.2024;7,285.00;7,285.00;7,100.00;7,137.00;-2.02;10;71,370;71,370
01.11.2024;7,284.00;7,284.00;7,284.00;7,284.00;2.59;7;50,988;50,988
31.10.2024;7,100.00;;;7,100.00;0.00;0;0;0
30.10.2024;7,100.00;;;7,100.00;0.00;0;0;0
29.10.2024;7,100.00;;;7,100.00;0.00;0;0;0
28.10.2024;7,100.00;;;7,100.00;0.00;0;0;0
25.10.2024;7,100.00;;;7,100.00;0.00;0;0;0
24.10.2024;7,100.00;;;7,100.00;0.00;0;0;0
22.10.2024;7,100.00;;;7,100.00;0.00;0;0;0
21.10.2024;7,100.00;7,100.00;7,100.00;7,100.00;-1.39;20;142,000;142,000
18.10.2024;7,200.00;;;7,200.00;0.00;0;0;0
17.10.2024;7,200.00;7,200.00;7,200.00;7,200.00;0.00;11;79,200;79,200
16.10.2024;7,200.00;7,200.00;7,200.00;7,200.00;0.00;130;936,000;936,000
15.10.2024;7,200.00;7,200.00;7,200.00;7,200.00;-1.22;685;4,932,000;4,932,000
14.10.2024;7,289.00;;;7,289.00;0.00;0;0;0
10.10.2024;7,289.00;;;7,289.00;0.00;0;0;0
